city_rus,city_en,link,latitude,longitude,coordinates
Белорецк,beloretsk,https://time-in.ru/coordinates/beloretsk,53.9631,58.3981,"53.9631, 58.3981"
Белореченск,belorechensk,https://time-in.ru/coordinates/belorechensk,44.7713,39.8788,"44.7713, 39.8788"
Бердск,berdsk,https://time-in.ru/coordinates/berdsk,54.7551,83.0967,"54.7551, 83.0967"
Березники,berezniki,https://time-in.ru/coordinates/berezniki,59.4091,56.8204,"59.4091, 56.8204"
Берёзовский,berezovskiy,https://time-in.ru/coordinates/berezovskiy,55.6,86.2,"55.6, 86.2"
Бийск,biysk,https://time-in.ru/coordinates/biysk,52.5364,85.2072,"52.5364, 85.2072"
Биробиджан,birobidzhan,https://time-in.ru/coordinates/birobidzhan,48.7928,132.924,"48.7928, 132.924"
Благовещенск,blagoveshchensk,https://time-in.ru/coordinates/blagoveshchensk,50.2796,127.54,"50.2796, 127.54"
Бор,bor-1,https://time-in.ru/coordinates/bor-1,56.3581,44.0748,"56.3581, 44.0748"
Борисоглебск,borisoglebsk,https://time-in.ru/coordinates/borisoglebsk,51.3671,42.0849,"51.3671, 42.0849"
Боровичи,borovichi,https://time-in.ru/coordinates/borovichi,58.3878,33.9155,"58.3878, 33.9155"
Братск,bratsk,https://time-in.ru/coordinates/bratsk,56.1325,101.614,"56.1325, 101.614"
Брянск,bryansk,https://time-in.ru/coordinates/bryansk,53.2521,34.3717,"53.2521, 34.3717"
Бугульма,bugul-ma,https://time-in.ru/coordinates/bugul-ma,54.5378,52.7985,"54.5378, 52.7985"
Бугуруслан,buguruslan,https://time-in.ru/coordinates/buguruslan,53.6554,52.442,"53.6554, 52.442"
Будённовск,budennovsk,https://time-in.ru/coordinates/budennovsk,44.7839,44.1658,"44.7839, 44.1658"
Бузулук,buzuluk,https://time-in.ru/coordinates/buzuluk,52.7807,52.2635,"52.7807, 52.2635"
Буйнакск,buynaksk,https://time-in.ru/coordinates/buynaksk,42.819,47.1192,"42.819, 47.1192"
Великие Луки,velikiye-luki,https://time-in.ru/coordinates/velikiye-luki,56.34,30.5452,"56.34, 30.5452"
Великий Новгород,velikiy-novgorod,https://time-in.ru/coordinates/velikiy-novgorod,58.5213,31.271,"58.5213, 31.271"
Верхняя Пышма,verkhnyaya-pyshma,https://time-in.ru/coordinates/verkhnyaya-pyshma,56.9705,60.5822,"56.9705, 60.5822"
Видное,vidnoye,https://time-in.ru/coordinates/vidnoye,55.5524,37.7097,"55.5524, 37.7097"
Владивосток,vladivostok,https://time-in.ru/coordinates/vladivostok,43.1056,131.874,"43.1056, 131.874"
Владикавказ,vladikavkaz,https://time-in.ru/coordinates/vladikavkaz,43.0367,44.6678,"43.0367, 44.6678"
Владимир,vladimir,https://time-in.ru/coordinates/vladimir,56.1366,40.3966,"56.1366, 40.3966"
Волгоград,volgograd,https://time-in.ru/coordinates/volgograd,48.7194,44.5018,"48.7194, 44.5018"
Волгодонск,volgodonsk,https://time-in.ru/coordinates/volgodonsk,47.5136,42.1514,"47.5136, 42.1514"
Волжск,volzhsk,https://time-in.ru/coordinates/volzhsk,55.8664,48.3594,"55.8664, 48.3594"
Волжский,volzhskiy,https://time-in.ru/coordinates/volzhskiy,48.7858,44.7797,"48.7858, 44.7797"
Вологда,vologda,https://time-in.ru/coordinates/vologda,59.2239,39.884,"59.2239, 39.884"
Вольск,vol-sk,https://time-in.ru/coordinates/vol-sk,52.0454,47.3799,"52.0454, 47.3799"
Воркута,vorkuta,https://time-in.ru/coordinates/vorkuta,67.4988,64.0525,"67.4988, 64.0525"
Воронеж,voronezh,https://time-in.ru/coordinates/voronezh,51.672,39.1843,"51.672, 39.1843"
Воскресенск,voskresensk,https://time-in.ru/coordinates/voskresensk,55.3173,38.6526,"55.3173, 38.6526"
Восточное Дегунино,vostochnoe-degunino,https://time-in.ru/coordinates/vostochnoe-degunino,55.8801,37.5576,"55.8801, 37.5576"
Воткинск,votkinsk,https://time-in.ru/coordinates/votkinsk,57.0486,53.9872,"57.0486, 53.9872"
Выборг,vyborg,https://time-in.ru/coordinates/vyborg,60.7076,28.7528,"60.7076, 28.7528"
Выкса,vyksa,https://time-in.ru/coordinates/vyksa,55.3175,42.1744,"55.3175, 42.1744"
Вышний Волочек,vyshniy-volochek,https://time-in.ru/coordinates/vyshniy-volochek,57.5913,34.5645,"57.5913, 34.5645"
Вязьма,vyaz-ma,https://time-in.ru/coordinates/vyaz-ma,55.2104,34.2951,"55.2104, 34.2951"
Гатчина,gatchina,https://time-in.ru/coordinates/gatchina,59.5764,30.1283,"59.5764, 30.1283"
Геленджик,gelendzhik,https://time-in.ru/coordinates/gelendzhik,44.5622,38.0848,"44.5622, 38.0848"
Георгиевск,georgiyevsk,https://time-in.ru/coordinates/georgiyevsk,44.1519,43.4697,"44.1519, 43.4697"
Глазов,glazov,https://time-in.ru/coordinates/glazov,58.1393,52.658,"58.1393, 52.658"
Горно-Алтайск,gorno-altaysk,https://time-in.ru/coordinates/gorno-altaysk,51.9606,85.9189,"51.9606, 85.9189"
Грозный,groznyy,https://time-in.ru/coordinates/groznyy,43.312,45.6889,"43.312, 45.6889"
Губкин,gubkin,https://time-in.ru/coordinates/gubkin,51.2817,37.5458,"51.2817, 37.5458"
Гуково,gukovo,https://time-in.ru/coordinates/gukovo,48.0621,39.9355,"48.0621, 39.9355"
Гусь-Хрустальный,gus-khrustal-nyy,https://time-in.ru/coordinates/gus-khrustal-nyy,55.6111,40.6519,"55.6111, 40.6519"
Дербент,derbent,https://time-in.ru/coordinates/derbent,42.0678,48.2899,"42.0678, 48.2899"
Дзержинск,dzerzhinsk,https://time-in.ru/coordinates/dzerzhinsk,56.2414,43.4554,"56.2414, 43.4554"
Димитровград,dimitrovgrad,https://time-in.ru/coordinates/dimitrovgrad,54.2139,49.6184,"54.2139, 49.6184"
Дмитров,dmitrov,https://time-in.ru/coordinates/dmitrov,56.3448,37.5204,"56.3448, 37.5204"
Долгопрудный,dolgoprudnyy,https://time-in.ru/coordinates/dolgoprudnyy,55.9496,37.5018,"55.9496, 37.5018"
Домодедово,domodedovo,https://time-in.ru/coordinates/domodedovo,55.4413,37.7537,"55.4413, 37.7537"
Донецк,donetsk-1,https://time-in.ru/coordinates/donetsk-1,48.3396,39.9595,"48.3396, 39.9595"
Дубна,dubna,https://time-in.ru/coordinates/dubna,56.7333,37.1667,"56.7333, 37.1667"
Егорьевск,yegor-yevsk,https://time-in.ru/coordinates/yegor-yevsk,55.3828,39.0323,"55.3828, 39.0323"
Ейск,yeysk,https://time-in.ru/coordinates/yeysk,46.7055,38.2739,"46.7055, 38.2739"
Екатеринбург,yekaterinburg,https://time-in.ru/coordinates/yekaterinburg,56.8519,60.6122,"56.8519, 60.6122"
Елабуга,yelabuga,https://time-in.ru/coordinates/yelabuga,55.7613,52.0649,"55.7613, 52.0649"
Елец,yelets,https://time-in.ru/coordinates/yelets,52.6237,38.5017,"52.6237, 38.5017"
Ессентуки,yessentuki,https://time-in.ru/coordinates/yessentuki,44.0444,42.8606,"44.0444, 42.8606"
Железногорск,zheleznogorsk-1,https://time-in.ru/coordinates/zheleznogorsk-1,56.2511,93.5319,"56.2511, 93.5319"
Железногорск,zheleznogorsk,https://time-in.ru/coordinates/zheleznogorsk,52.331,35.3711,"52.331, 35.3711"
Железнодорожный,zheleznodorozhnyy,https://time-in.ru/coordinates/zheleznodorozhnyy,55.744,38.0168,"55.744, 38.0168"
Жигулевск,zhigulevsk,https://time-in.ru/coordinates/zhigulevsk,53.3997,49.4953,"53.3997, 49.4953"
Жуковский,zhukovskiy,https://time-in.ru/coordinates/zhukovskiy,55.5953,38.1203,"55.5953, 38.1203"
Заречный,zarechnyy-1,https://time-in.ru/coordinates/zarechnyy-1,53.1333,46.5833,"53.1333, 46.5833"
Заречный,zarechnyy,https://time-in.ru/coordinates/zarechnyy,53.2036,45.1923,"53.2036, 45.1923"
Заринск,zarinsk,https://time-in.ru/coordinates/zarinsk,53.7074,84.9493,"53.7074, 84.9493"
Зеленогорск,zelenogorsk,https://time-in.ru/coordinates/zelenogorsk,56.1124,94.5985,"56.1124, 94.5985"
Зеленоград,zelenograd,https://time-in.ru/coordinates/zelenograd,55.9825,37.1814,"55.9825, 37.1814"
Зеленодольск,zelenodolsk,https://time-in.ru/coordinates/zelenodolsk,55.8438,48.5178,"55.8438, 48.5178"
Златоуст,zlatoust,https://time-in.ru/coordinates/zlatoust,55.1711,59.6508,"55.1711, 59.6508"
Иваново,ivanovo,https://time-in.ru/coordinates/ivanovo,56.9972,40.9714,"56.9972, 40.9714"
Ивантеевка,ivanteyevka,https://time-in.ru/coordinates/ivanteyevka,55.9711,37.9208,"55.9711, 37.9208"
Ижевск,izhevsk,https://time-in.ru/coordinates/izhevsk,56.8498,53.2045,"56.8498, 53.2045"
Иркутск,irkutsk,https://time-in.ru/coordinates/irkutsk,52.2978,104.296,"52.2978, 104.296"
Искитим,iskitim,https://time-in.ru/coordinates/iskitim,54.6366,83.3045,"54.6366, 83.3045"
Ишим,ishim,https://time-in.ru/coordinates/ishim,56.1128,69.4902,"56.1128, 69.4902"
Ишимбай,ishimbay,https://time-in.ru/coordinates/ishimbay,53.4545,56.0415,"53.4545, 56.0415"
Йошкар-Ола,yoshkar-ola,https://time-in.ru/coordinates/yoshkar-ola,56.6388,47.8908,"56.6388, 47.8908"
Казань,kazan,https://time-in.ru/coordinates/kazan,55.7887,49.1221,"55.7887, 49.1221"
Калининград,kaliningrad,https://time-in.ru/coordinates/kaliningrad,54.7065,20.511,"54.7065, 20.511"
Калуга,kaluga,https://time-in.ru/coordinates/kaluga,54.5293,36.2754,"54.5293, 36.2754"
Каменск,kamensk-shakhtinskiy,https://time-in.ru/coordinates/kamensk-shakhtinskiy,48.3178,40.2595,"48.3178, 40.2595"
Каменск-Уральский,kamensk-ural-skiy,https://time-in.ru/coordinates/kamensk-ural-skiy,56.4185,61.9329,"56.4185, 61.9329"
Камышин,kamyshin,https://time-in.ru/coordinates/kamyshin,50.0983,45.416,"50.0983, 45.416"
Канск,kansk,https://time-in.ru/coordinates/kansk,56.2017,95.7175,"56.2017, 95.7175"
Каспийск,kaspiysk,https://time-in.ru/coordinates/kaspiysk,42.8816,47.6392,"42.8816, 47.6392"
Кемерово,kemerovo,https://time-in.ru/coordinates/kemerovo,55.3333,86.0833,"55.3333, 86.0833"
Кизляр,kizlyar,https://time-in.ru/coordinates/kizlyar,43.8471,46.7145,"43.8471, 46.7145"
Кимры,kimry,https://time-in.ru/coordinates/kimry,56.8667,37.35,"56.8667, 37.35"
Кингисепп,kingisepp,https://time-in.ru/coordinates/kingisepp,59.3733,28.6134,"59.3733, 28.6134"
Кинешма,kineshma,https://time-in.ru/coordinates/kineshma,57.4391,42.1289,"57.4391, 42.1289"
Кириши,kirishi,https://time-in.ru/coordinates/kirishi,59.4471,32.0205,"59.4471, 32.0205"
Киров,kirov,https://time-in.ru/coordinates/kirov,58.5966,49.6601,"58.5966, 49.6601"
Кирово-Чепецк,kirovo-chepetsk,https://time-in.ru/coordinates/kirovo-chepetsk,58.5539,50.0399,"58.5539, 50.0399"
Киселёвск,kiselevsk,https://time-in.ru/coordinates/kiselevsk,53.99,86.6621,"53.99, 86.6621"
Кисловодск,kislovodsk,https://time-in.ru/coordinates/kislovodsk,43.9133,42.7208,"43.9133, 42.7208"
Климовск,klimovsk,https://time-in.ru/coordinates/klimovsk,55.3635,37.5298,"55.3635, 37.5298"
Клин,klin,https://time-in.ru/coordinates/klin,56.3333,36.7333,"56.3333, 36.7333"
Клинцы,klintsy,https://time-in.ru/coordinates/klintsy,52.7602,32.2393,"52.7602, 32.2393"
Ковров,kovrov,https://time-in.ru/coordinates/kovrov,56.3572,41.3192,"56.3572, 41.3192"
Когалым,kogalym,https://time-in.ru/coordinates/kogalym,62.2654,74.4791,"62.2654, 74.4791"
Коломна,kolomna,https://time-in.ru/coordinates/kolomna,55.0794,38.7783,"55.0794, 38.7783"
Колпино,kolpino,https://time-in.ru/coordinates/kolpino,59.7507,30.5886,"59.7507, 30.5886"
Комсомольск-на-Амуре,komsomolsk-on-amur,https://time-in.ru/coordinates/komsomolsk-on-amur,50.5503,137.01,"50.5503, 137.01"
Копейск,kopeysk,https://time-in.ru/coordinates/kopeysk,55.1172,61.6282,"55.1172, 61.6282"
Королёв,korolev,https://time-in.ru/coordinates/korolev,55.9142,37.8256,"55.9142, 37.8256"
Кострома,kostroma,https://time-in.ru/coordinates/kostroma,57.7665,40.9269,"57.7665, 40.9269"
Котлас,kotlas,https://time-in.ru/coordinates/kotlas,61.2575,46.6496,"61.2575, 46.6496"
Красногорск,krasnogorsk,https://time-in.ru/coordinates/krasnogorsk,55.8204,37.3302,"55.8204, 37.3302"
Краснодар,krasnodar,https://time-in.ru/coordinates/krasnodar,45.0448,38.976,"45.0448, 38.976"
Краснокаменск,krasnokamensk,https://time-in.ru/coordinates/krasnokamensk,50.0979,118.037,"50.0979, 118.037"
Краснокамск,krasnokamsk,https://time-in.ru/coordinates/krasnokamsk,58.0796,55.7552,"58.0796, 55.7552"
Краснотурьинск,krasnotur-insk,https://time-in.ru/coordinates/krasnotur-insk,59.7666,60.2086,"59.7666, 60.2086"
Красноярск,krasnoyarsk,https://time-in.ru/coordinates/krasnoyarsk,56.0184,92.8672,"56.0184, 92.8672"
Кропоткин,kropotkin,https://time-in.ru/coordinates/kropotkin,45.4375,40.5756,"45.4375, 40.5756"
Крымск,krymsk,https://time-in.ru/coordinates/krymsk,44.9293,37.9912,"44.9293, 37.9912"
Кстово,kstovo,https://time-in.ru/coordinates/kstovo,56.1473,44.1979,"56.1473, 44.1979"
Кузнецк,kuznetsk,https://time-in.ru/coordinates/kuznetsk,53.1167,46.6004,"53.1167, 46.6004"
Кумертау,kumertau,https://time-in.ru/coordinates/kumertau,52.7667,55.7833,"52.7667, 55.7833"
Кунгур,kungur,https://time-in.ru/coordinates/kungur,57.4368,56.9593,"57.4368, 56.9593"
Курган,kurgan,https://time-in.ru/coordinates/kurgan,55.45,65.3333,"55.45, 65.3333"
Курск,kursk,https://time-in.ru/coordinates/kursk,51.7373,36.1874,"51.7373, 36.1874"
Кызыл,kyzyl,https://time-in.ru/coordinates/kyzyl,51.7147,94.4534,"51.7147, 94.4534"
Лабинск,labinsk,https://time-in.ru/coordinates/labinsk,44.6342,40.7356,"44.6342, 40.7356"
Лениногорск,leninogorsk,https://time-in.ru/coordinates/leninogorsk,54.6026,52.4609,"54.6026, 52.4609"
Ленинск-Кузнецкий,leninsk-kuznetsky,https://time-in.ru/coordinates/leninsk-kuznetsky,54.6567,86.1737,"54.6567, 86.1737"
Лесной,lesnoy,https://time-in.ru/coordinates/lesnoy,57.6198,63.0784,"57.6198, 63.0784"
Лесосибирск,lesosibirsk,https://time-in.ru/coordinates/lesosibirsk,58.2358,92.4828,"58.2358, 92.4828"
Ливны,livny,https://time-in.ru/coordinates/livny,52.4253,37.6069,"52.4253, 37.6069"
Липецк,lipetsk,https://time-in.ru/coordinates/lipetsk,52.6031,39.5708,"52.6031, 39.5708"
Лиски,liski,https://time-in.ru/coordinates/liski,50.9841,39.5154,"50.9841, 39.5154"
Лобня,lobnya,https://time-in.ru/coordinates/lobnya,56.0097,37.4819,"56.0097, 37.4819"
Лысьва,lys-va,https://time-in.ru/coordinates/lys-va,58.1086,57.8053,"58.1086, 57.8053"
Лыткарино,lytkarino,https://time-in.ru/coordinates/lytkarino,55.5827,37.9052,"55.5827, 37.9052"
Люберцы,lyubertsy,https://time-in.ru/coordinates/lyubertsy,55.6772,37.8932,"55.6772, 37.8932"
Магадан,magadan,https://time-in.ru/coordinates/magadan,59.5638,150.803,"59.5638, 150.803"
Магас,magas,https://time-in.ru/coordinates/magas,43.2226,44.7726,"43.2226, 44.7726"
Магнитогорск,magnitogorsk,https://time-in.ru/coordinates/magnitogorsk,53.4186,59.0472,"53.4186, 59.0472"
Майкоп,maykop,https://time-in.ru/coordinates/maykop,44.6078,40.1058,"44.6078, 40.1058"
Махачкала,makhachkala,https://time-in.ru/coordinates/makhachkala,42.9764,47.5024,"42.9764, 47.5024"
Междуреченск,mezhdurechensk,https://time-in.ru/coordinates/mezhdurechensk,53.6942,88.0603,"53.6942, 88.0603"
Мелеуз,meleuz,https://time-in.ru/coordinates/meleuz,52.9647,55.9328,"52.9647, 55.9328"
Миасс,miass,https://time-in.ru/coordinates/miass,55.045,60.1083,"55.045, 60.1083"
Минеральные Воды,mineralnye-vody,https://time-in.ru/coordinates/mineralnye-vody,44.2103,43.1353,"44.2103, 43.1353"
Минусинск,minusinsk,https://time-in.ru/coordinates/minusinsk,53.7103,91.6875,"53.7103, 91.6875"
Михайловка,mikhaylovka,https://time-in.ru/coordinates/mikhaylovka,50.06,43.2379,"50.06, 43.2379"
Михайловск,mikhaylovsk,https://time-in.ru/coordinates/mikhaylovsk,45.1283,42.0256,"45.1283, 42.0256"
Мичуринск,michurinsk,https://time-in.ru/coordinates/michurinsk,52.8978,40.4907,"52.8978, 40.4907"
Мурманск,murmansk,https://time-in.ru/coordinates/murmansk,68.9792,33.0925,"68.9792, 33.0925"
Муром,murom,https://time-in.ru/coordinates/murom,55.575,42.0426,"55.575, 42.0426"
Мытищи,mytishchi,https://time-in.ru/coordinates/mytishchi,55.9116,37.7308,"55.9116, 37.7308"
Набережные Челны,naberezhnyye-chelny,https://time-in.ru/coordinates/naberezhnyye-chelny,55.7254,52.4112,"55.7254, 52.4112"
Назарово,nazarovo,https://time-in.ru/coordinates/nazarovo,56.0104,90.4011,"56.0104, 90.4011"
Назрань,nazran,https://time-in.ru/coordinates/nazran,43.226,44.7732,"43.226, 44.7732"
Нальчик,nal-chik,https://time-in.ru/coordinates/nal-chik,43.4981,43.6189,"43.4981, 43.6189"
Наро-Фоминск,naro-fominsk,https://time-in.ru/coordinates/naro-fominsk,55.3875,36.7331,"55.3875, 36.7331"
Нарьян-Мар,nar-yan-mar,https://time-in.ru/coordinates/nar-yan-mar,67.6387,53.0037,"67.6387, 53.0037"
Находка,nakhodka,https://time-in.ru/coordinates/nakhodka,42.8138,132.873,"42.8138, 132.873"
Невинномысск,nevinnomyssk,https://time-in.ru/coordinates/nevinnomyssk,44.6333,41.9444,"44.6333, 41.9444"
Нерюнгри,neryungri,https://time-in.ru/coordinates/neryungri,56.6664,124.638,"56.6664, 124.638"
Нефтекамск,neftekamsk,https://time-in.ru/coordinates/neftekamsk,56.092,54.2661,"56.092, 54.2661"
Нефтеюганск,nefteyugansk,https://time-in.ru/coordinates/nefteyugansk,61.0998,72.6035,"61.0998, 72.6035"
Нижневартовск,nizhnevartovsk,https://time-in.ru/coordinates/nizhnevartovsk,60.9344,76.5531,"60.9344, 76.5531"
Нижнекамск,nizhnekamsk,https://time-in.ru/coordinates/nizhnekamsk,55.6366,51.8245,"55.6366, 51.8245"
Нижний Новгород,nizhniy-novgorod,https://time-in.ru/coordinates/nizhniy-novgorod,56.3287,44.002,"56.3287, 44.002"
Нижний Тагил,nizhny-tagil,https://time-in.ru/coordinates/nizhny-tagil,57.9194,59.965,"57.9194, 59.965"
Ново-Переделкино,novo-peredelkino,https://time-in.ru/coordinates/novo-peredelkino,55.6453,37.3358,"55.6453, 37.3358"
Новоалтайск,novoaltaysk,https://time-in.ru/coordinates/novoaltaysk,53.3917,83.9363,"53.3917, 83.9363"
Новокузнецк,novokuznetsk,https://time-in.ru/coordinates/novokuznetsk,53.7557,87.1099,"53.7557, 87.1099"
Новокуйбышевск,novokuybyshevsk,https://time-in.ru/coordinates/novokuybyshevsk,53.0959,49.9462,"53.0959, 49.9462"
Новомосковск,novomoskovsk,https://time-in.ru/coordinates/novomoskovsk,54.0105,38.2846,"54.0105, 38.2846"
Новороссийск,novorossiysk,https://time-in.ru/coordinates/novorossiysk,44.7244,37.7675,"44.7244, 37.7675"
Новосибирск,novosibirsk,https://time-in.ru/coordinates/novosibirsk,55.0415,82.9346,"55.0415, 82.9346"
Новотроицк,novotroitsk,https://time-in.ru/coordinates/novotroitsk,51.203,58.3266,"51.203, 58.3266"
Новоуральск,novoural-sk,https://time-in.ru/coordinates/novoural-sk,57.2439,60.0839,"57.2439, 60.0839"
Новочебоксарск,novocheboksarsk,https://time-in.ru/coordinates/novocheboksarsk,56.111,47.4776,"56.111, 47.4776"
Новочеркасск,novocherkassk,https://time-in.ru/coordinates/novocherkassk,47.421,40.0919,"47.421, 40.0919"
Новошахтинск,novoshakhtinsk,https://time-in.ru/coordinates/novoshakhtinsk,47.7604,39.9333,"47.7604, 39.9333"
Новый Уренгой,novyy-urengoy,https://time-in.ru/coordinates/novyy-urengoy,66.0833,76.6333,"66.0833, 76.6333"
Ногинск,noginsk,https://time-in.ru/coordinates/noginsk,55.8665,38.4438,"55.8665, 38.4438"
Норильск,norilsk,https://time-in.ru/coordinates/norilsk,69.3535,88.2027,"69.3535, 88.2027"
Ноябрьск,noyabrsk,https://time-in.ru/coordinates/noyabrsk,63.1931,75.4373,"63.1931, 75.4373"
Нягань,nyagan,https://time-in.ru/coordinates/nyagan,62.1406,65.3936,"62.1406, 65.3936"
Обнинск,obninsk,https://time-in.ru/coordinates/obninsk,55.0968,36.6101,"55.0968, 36.6101"
Одинцово,odintsovo,https://time-in.ru/coordinates/odintsovo,55.678,37.2777,"55.678, 37.2777"
Озёрск,ozersk,https://time-in.ru/coordinates/ozersk,55.7556,60.7028,"55.7556, 60.7028"
Октябрьский,oktyabr-skiy,https://time-in.ru/coordinates/oktyabr-skiy,54.4815,53.471,"54.4815, 53.471"
Омск,omsk,https://time-in.ru/coordinates/omsk,54.9924,73.3686,"54.9924, 73.3686"
Орёл,orel,https://time-in.ru/coordinates/orel,52.9651,36.0785,"52.9651, 36.0785"
Оренбург,orenburg,https://time-in.ru/coordinates/orenburg,51.7727,55.0988,"51.7727, 55.0988"
Орехово-Зуево,orekhovo-zuyevo,https://time-in.ru/coordinates/orekhovo-zuyevo,55.8067,38.9618,"55.8067, 38.9618"
Орск,orsk,https://time-in.ru/coordinates/orsk,51.2049,58.5668,"51.2049, 58.5668"
Отрадный,otradnyy,https://time-in.ru/coordinates/otradnyy,53.376,51.3452,"53.376, 51.3452"
Павлово,pavlovo,https://time-in.ru/coordinates/pavlovo,55.9686,43.0912,"55.9686, 43.0912"
Павловский Посад,pavlovskiy-posad,https://time-in.ru/coordinates/pavlovskiy-posad,55.7819,38.6502,"55.7819, 38.6502"
Пенза,penza,https://time-in.ru/coordinates/penza,53.2007,45.0046,"53.2007, 45.0046"
Первоуральск,pervoural-sk,https://time-in.ru/coordinates/pervoural-sk,56.9053,59.9436,"56.9053, 59.9436"
Пермь,perm,https://time-in.ru/coordinates/perm,58.0105,56.2502,"58.0105, 56.2502"
Петергоф,peterhof,https://time-in.ru/coordinates/peterhof,59.8833,29.9,"59.8833, 29.9"
Петрозаводск,petrozavodsk,https://time-in.ru/coordinates/petrozavodsk,61.7849,34.3469,"61.7849, 34.3469"
Петропавловск-Камчатский,petropavlovsk-kamchatsky,https://time-in.ru/coordinates/petropavlovsk-kamchatsky,53.0444,158.651,"53.0444, 158.651"
Подольск,podolsk,https://time-in.ru/coordinates/podolsk,55.4242,37.5547,"55.4242, 37.5547"
Полевской,polevskoy,https://time-in.ru/coordinates/polevskoy,56.4422,60.1878,"56.4422, 60.1878"
Прокопьевск,prokop-yevsk,https://time-in.ru/coordinates/prokop-yevsk,53.9059,86.719,"53.9059, 86.719"
Прохладный,prokhladnyy,https://time-in.ru/coordinates/prokhladnyy,43.7574,44.0297,"43.7574, 44.0297"
Псков,pskov,https://time-in.ru/coordinates/pskov,57.8136,28.3496,"57.8136, 28.3496"
Пушкин,pushkin,https://time-in.ru/coordinates/pushkin,59.7142,30.3964,"59.7142, 30.3964"
Пушкино,pushkino-1,https://time-in.ru/coordinates/pushkino-1,56.0172,37.8667,"56.0172, 37.8667"
Пятигорск,pyatigorsk,https://time-in.ru/coordinates/pyatigorsk,44.0486,43.0594,"44.0486, 43.0594"
Раменское,ramenskoye,https://time-in.ru/coordinates/ramenskoye,55.5669,38.2303,"55.5669, 38.2303"
Ревда,revda,https://time-in.ru/coordinates/revda,56.801,59.9303,"56.801, 59.9303"
Реутов,reutov,https://time-in.ru/coordinates/reutov,55.7611,37.8575,"55.7611, 37.8575"
Ржев,rzhev,https://time-in.ru/coordinates/rzhev,56.2624,34.3282,"56.2624, 34.3282"
Рославль,roslavl,https://time-in.ru/coordinates/roslavl,53.9528,32.8639,"53.9528, 32.8639"
